char	strokes	frequency	jlpt	grade	radicals	parts	meanings	readings_kun	readings_on	compounds_kun	compounds_on	words
気	6	113	N5	grade 1	steam, breath 气	丶 ノ 气 乞	spirit, mind, air, atmosphere, mood	いき	キ, ケ	{心意気:こころいき} spirit, disposition<br/>{水気:みずけ} water content, moisture, juiciness, dampness, water vapor (vapour), steam, dropsy, edema, oedema	{気:キ} spirit, mind, heart, nature, disposition, motivation, intention, mood, feelings, ambience, atmosphere, mood<br/>{気合:キアイ} (fighting) spirit, motivation, effort, shout (for getting in the right mood to deal with something, etc.), cheer, yell, kiai, short shout when performing an attacking move<br/>{心意気:ココロイキ} spirit, disposition<br/>{水気:ミズケ} water content, moisture, juiciness, dampness, water vapor (vapour), steam, dropsy, edema, oedema<br/>{気:ケ} sign, indication, trace, touch, feeling, somehow, for some reason, seeming to be<br/>{気配:ケハイ} indication, sign, hint, presence, trend, quotation (esp. stock market)<br/>{嫌気:イヤキ} dislike, disgust, disinclination, tired of<br/>{水気:ミズケ} water content, moisture, juiciness, dampness, water vapor (vapour), steam, dropsy, edema, oedema	{気:き}<br/>{気:け}<br/>{気:げ}<br/>{気:ぎ}<br/>{気:き}{分:ぶん}<br/>{気:き}{候:こう}<br/>{気:き}{圧:あつ}<br/>{気:き}{体:たい}<br/>{気:き}{持:も}ち<br/>{気:き}{質:しつ}<br/>{気:き}{象:しょう}<br/>{気:き}{温:おん}<br/>{気:き}{味:み}<br/>{気:き}づく<br/>{気:き}に{入:い}る<br/>{気:き}の{毒:どく}<br/>{気:け}{配:はい}<br/>{気:き}{楽:らく}<br/>{気:き}{軽:がる}
小	3	114	N5	grade 1	small, insignificant 小	小	little, small	ちい.さい, こ-, お-, さ-	ショウ	{小さい:ちいさい} small, little, tiny, slight, below average (in degree, amount, etc.), minor, small, low (e.g. sound), soft (e.g. voice), unimportant, petty, insignificant, trifling, trivial, young, juvenile<br/>{小さい頃:ちいさいころ} as a child, when one was a child	{小:ショウ} smallness, small item, short month (i.e. having fewer than 31 days), elementary school, younger or inferior (of two items or people with the same name), unit of field area (approx. 400 sq m)<br/>{小雨:コサメ} light rain, drizzle<br/>{微小:ビショウ} microscopic<br/>{中小:チュウショウ} small to medium	{小:しょう}<br/>{小:こ}<br/>{小:お}<br/>{小:ぐゎー}<br/>{小:しょう}{説:せつ}<br/>{小学校:しょうがっこう}<br/>{小:こ}{屋:や}<br/>{小:ちい}さい<br/>{小:ちい}さな<br/>{小:こ}{切:ぎっ}{手:て}<br/>{小:こ}{鳥:とり}<br/>{小:こう}{売:り}<br/>{小:こ}{包:づつみ}<br/>{小:こ}{麦:むぎ}<br/>{小:こ}{遣:づか}い
七	2	115	N5	grade 1	one 一	ノ 乙 匕	seven	なな, なな.つ, なの	シチ	{七:しち} seven, hepta-<br/>７０ 【しちじゅう】 seventy, 70<br/>{七つ:ななつ} seven<br/>{七帯アルマジロ:ななつおびアルマジロ} seven-banded armadillo (Dasypus septemcinctus)<br/>{七日:なのか} the seventh day of the month, seven days	{七:シチ} seven, hepta-<br/>７{月:シチガツ} July, seventh month of the lunar calendar<br/>セシウム１３７ 【セシウムヒャクサンジュウシチ】 cesium 137 (Cs-137), caesium 137<br/>{五七:ゴシチ} five and seven, 35th day after a person's death	{七:しち}<br/>{七:チー}<br/>{七:なな}つ<br/>{七:なの}{日:か}<br/>{七:しち}{面:めん}{鳥:ちょう}<br/>{七:なな}{不:ふ}{思:し}{議:ぎ}<br/>{七夕:たなばた}<br/>{七:しち}{五:ご}{三:さん}<br/>{七転八倒:しちてんばっとう}<br/>{七:なな}{色:いろ}<br/>{七:なな}{草:くさ}<br/>{七:しち}{福:ふく}{神:じん}<br/>{七宝:しっぽう}<br/>{七:しち}{味:み}{唐:とう}{辛:がら}{子:し}<br/>{七宝焼:しっぽうやき}<br/>{七:しち}{十:じゅう}{人:にん}{訳:やく}{聖:せい}{書:しょ}<br/>{七星天道虫:ななほしてんとう}<br/>{七:しち}{年:ねん}{戦:せん}{争:そう}
成	6	116	N3	grade 4	spear, halberd 戈	ノ 戈	turn into, become, get, grow, elapse, reach	な.る, な.す, -な.す	セイ, ジョウ	{成る:なる} to become, to get, to grow, to be, to reach, to attain, to result in, to prove to be, to consist of, to be composed of, to succeed, to be complete, to change into, to be exchanged for, to play a role, to be promoted, to do ...<br/>{成るべく:なるべく} as much as possible, wherever practicable, if possible<br/>{為す:なす} to build up, to establish, to form, to become (a state), to accomplish, to achieve, to succeed in, to change into, to do, to perform, to intend to, to attempt, to try<br/>{なす角:なすかく} formed angle, angle made	{成果:セイカ} (good) result, outcome, fruits (of one's labors), product, accomplishment<br/>{成案:セイアン} definite plan<br/>{合成:ゴウセイ} composition, synthesis, composite, compound, synthetic, mixed, combined, (function) composition<br/>{集大成:シュウタイセイ} (large) compilation, culmination (of hard work)<br/>{成仏:ジョウブツ} entering Nirvana, becoming a Buddha, going to heaven, resting in peace, dying (peacefully)<br/>{成就:ジョウジュ} fulfillment, fulfilment, realization, realisation, completion	{成:な}る<br/>{成:な}るべく<br/>{成:せい}{功:こう}<br/>{成:せい}{長:ちょう}<br/>{成:せい}{績:せき}<br/>{成:せい}{人:じん}<br/>{成:せい}{立:りつ}<br/>{成:せい}{分:ぶん}<br/>{成:な}り{立:た}つ<br/>{成:せい}{果:か}<br/>{成:せい}{年:ねん}<br/>{成:せい}{熟:じゅく}<br/>{成:なり}{金:きん}<br/>{成:せい}{虫:ちゅう}<br/>{成:な}り{行:ゆ}き<br/>{成:せい}{否:ひ}<br/>{成:な}し{遂:と}げる<br/>{成:せい}{算:さん}
期	12	117	N3	grade 3	moon, month 月	ハ 月 甘	period, time, date, term		キ, ゴ		{期:キ} period, time, age, term (e.g. in office), period, session (e.g. of parliament), stage (e.g. disease)<br/>{期間:キカン} period, term, interval<br/>{周期:シュウキ} cycle, period<br/>{当期:トウキ} current term (period)<br/>{期日:キジツ} fixed date, settlement date<br/>{期す:ゴス} to expect, to hope for, to look forward to, to foresee, to anticipate, to resolve (to do), to decide upon, to prepare for, to promise, to pledge<br/>{一期:イチゴ} one's life time, lifetime<br/>{非業の最期:ヒゴウノサイゴ} unnatural death, violent death	{期:き}<br/>{期:ご}<br/>{期:き}{待:たい}<br/>{期:き}{間:かん}<br/>{期:き}{限:げん}<br/>{期:き}{末:まつ}<br/>{期:き}{日:じつ}<br/>{期:き}{末:まつ}{試:し}{験:けん}<br/>{期:き}{待:たい}{通:どお}り<br/>{期:き}{限:げん}{切:ぎ}れ<br/>{期:き}{待:たい}{薄:うす}<br/>{期:き}{待:たい}{外:はず}れ<br/>{期:き}{待:たい}{感:かん}<br/>{期:き}{間:かん}{限:げん}{定:てい}<br/>{期:き}す<br/>{期:き}{成:せい}{同:どう}{盟:めい}<br/>{期:き}{待:たい}をかける<br/>{期:き}{待:たい}にかなう<br/>{期:き}{待:たい}{値:ち}<br/>{期:き}{待:たい}に{沿:そ}う
公	4	118	N4	grade 2	eight 八	ハ 厶	public, prince, official, governmental	おおやけ	コウ, ク	{公:おおやけ} official, governmental, formal, public (use, matter, forum, etc.), common, being public knowledge, being out in the open, exposure to public view<br/>{公所:おおやけどころ} imperial court, government office, imperial land, government land	{公:コウ} public matter, governmental matter, prince, duke, lord, sir, familiar or derogatory suffix<br/>{公安:コウアン} public safety, public welfare<br/>{王侯:オウコウ} king and princes, noble rank<br/>{大公:タイコウ} archduke<br/>{公家:クゲ} court noble, nobility, Imperial Court<br/>{公廨:クガイ} government office<br/>{夙:シュク} outcasts common around the Kyoto region from the Kamakura period to the Edo period	{公:おおやけ}<br/>{公:こう}<br/>{公:こう}{園:えん}<br/>{公:こう}{務:む}{員:いん}<br/>{公:こう}{平:へい}<br/>{公:こう}{害:がい}<br/>{公:こう}{共:きょう}<br/>{公:こう}{式:しき}<br/>{公:こう}{正:せい}<br/>{公:こう}{表:ひょう}<br/>{公:こう}{衆:しゅう}<br/>{公:こう}{務:む}<br/>{公:こう}{開:かい}<br/>{公:こう}{演:えん}<br/>{公:こう}{然:ぜん}<br/>{公:こう}{立:りつ}<br/>{公:こう}{用:よう}<br/>{公:こう}{団:だん}<br/>{公:こう}{衆:しゅう}{電:でん}{話:わ}
持	9	119	N4	grade 3	hand 手 (扌龵)	土 寸 扎	hold, have	も.つ, -も.ち, も.てる	ジ	{持つ:もつ} to hold (in one's hand), to take, to carry, to possess, to have, to own, to maintain, to keep, to last, to be durable, to keep, to survive, to take charge of, to be in charge of<br/>{持子:もつご} topmouth gudgeon, stone moroko (Pseudorasbora parva)<br/>{持てる:もてる} to be able to possess (hold, get, etc.), to be well liked, to be popular, to be pampered (spoiled, doted upon, etc.), to be welcomed, to endure (the tests of time, the elements, etc.), to last, possessed, held, rich, wealthy, affluent<br/>{持てる者と持たざる者:もてるものともたざるもの} haves and have-nots	{持参:ジサン} bringing, taking, carrying<br/>{持久:ジキュウ} endurance, persistence<br/>{堅持:ケンジ} holding on to, sticking to<br/>{護持:ゴジ} defend and maintain, support, protection	{持:じ}<br/>{持:も}つ<br/>{持:も}ち{上:あ}げる<br/>{持:じ}{参:さん}<br/>{持:も}ち<br/>{持:も}て{成:な}す<br/>{持:も}てる<br/>{持:も}ち{切:き}り<br/>{持:も}ち{主:ぬし}<br/>{持:も}ち{出:だ}す<br/>{持:も}ち{込:こ}む<br/>{持:も}ち{帰:かえ}り<br/>{持:も}ち{込:こ}み<br/>{持:も}ち{帰:かえ}る<br/>{持:じ}{論:ろん}<br/>{持:も}ち{前:まえ}<br/>{持:も}ち{越:こ}す<br/>{持:も}ち{株:かぶ}<br/>{持:も}ち{家:いえ}<br/>{持:も}ち{味:あじ}
野	11	120	N4	grade 2	village, mile 里	亅 矛 里	plains, field, rustic, civilian life	の, の-	ヤ, ショ	{野:の} plain, field, hidden (structural) member, wild, lacking a political post<br/>{野末:のずえ} corners of a field<br/>{裾野:すその} foot of a mountain, plain at the foot of a mountain, range, spread, extent, encompassing circle<br/>{郊野:こうの} suburban fields	{野:ノ} plain, field, hidden (structural) member, wild, lacking a political post<br/>{野外:ヤガイ} outdoors, outside, open air, fields, outskirts, suburbs<br/>{内野:ナイヤ} infield, diamond<br/>{在野:ザイヤ} out of office, out of power, in opposition, unaffiliated (e.g. researcher, scientist), in private practice	{野:の}<br/>{野:や}{菜:さい}<br/>{野:や}{党:とう}<br/>{野:や}{心:しん}<br/>{野:や}{生:せい}<br/>{野:や}{外:がい}<br/>{野:や}{球:きゅう}<br/>{野:や}{蛮:ばん}<br/>{野:の}{原:はら}<br/>{野:や}{望:ぼう}<br/>{野:や}{鳥:ちょう}<br/>{野:の}{山:やま}<br/>{野:や}{性:せい}<br/>{野:や}{球:きゅう}{部:ぶ}<br/>{野:の}{宿:じゅく}<br/>{野:や}{獣:じゅう}<br/>{野:や}{郎:ろう}<br/>{野:や}{犬:けん}<br/>{野:や}{生:せい}{動:どう}{物:ぶつ}
協	8	121	N2	grade 4	ten, complete 十	力 十	co-, cooperation		キョウ		{協議:キョウギ} conference, consultation, discussion, negotiation<br/>{協会:キョウカイ} association, society, organization, organisation<br/>{農協:ノウキョウ} agricultural cooperative<br/>{経協:ケイキョウ} management association, management conference, management institute	{協:きょう}{力:りょく}<br/>{協:きょう}{定:てい}<br/>{協:きょう}{会:かい}<br/>{協:きょう}{議:ぎ}<br/>{協:きょう}{調:ちょう}<br/>{協:きょう}{奏:そう}{曲:きょく}<br/>{協:きょう}{議:ぎ}{事:じ}{項:こう}<br/>{協:きょう}{力:りょく}{者:しゃ}<br/>{協:きょう}{同:どう}{組:くみ}{合:あい}<br/>{協:きょう}{賛:さん}<br/>{協:きょう}{和:わ}<br/>{協:きょう}{約:やく}<br/>{協:きょう}{商:しょう}<br/>{協:きょう}{定:てい}{世:せ}{界:かい}{時:じ}<br/>{協:きょう}{働:どう}<br/>{協:きょう}{心:しん}<br/>{協:きょう}{同:どう}{動:どう}{作:さ}<br/>{協:きょう}{力:りょく}{合:ごう}{意:い}
取	8	122	N3	grade 3	right hand 又	又 耳	take, fetch, take up	と.る, と.り, と.り-, とり, -ど.り	シュ	{取る:とる} to take, to pick up, to harvest, to earn, to win, to choose, to steal, to eat, to have (a meal), to remove (one's glasses, etc.), to compete (in sumo, cards, etc.), to play<br/>{取るに足らない:とるにたらない} insignificant, inconsequential, trifling, negligible, of little importance<br/>{取り:とり} taking, taker, collecting, collector, remover, removal, last performer of the day (usu. the star performer), last performance of the day, active partner (e.g. in judo demonstration), emphatic or formal prefix<br/>{取り扱い:とりあつかい} treatment, service, handling, management<br/>{関取:せきとり} ranking wrestler in the makuuchi (senior-grade) or juryo (junior-grade) divisions<br/>{買取:かいとり} purchase, buying, buying out, buying used articles as a company, trade-in, buy back, purchase on a no-return policy, lump-sum payment, flat fee<br/>{取り:とり} taking, taker, collecting, collector, remover, removal, last performer of the day (usu. the star performer), last performance of the day, active partner (e.g. in judo demonstration), emphatic or formal prefix<br/>{取り扱い:とりあつかい} treatment, service, handling, management<br/>{関取:せきとり} ranking wrestler in the makuuchi (senior-grade) or juryo (junior-grade) divisions<br/>{買取:かいとり} purchase, buying, buying out, buying used articles as a company, trade-in, buy back, purchase on a no-return policy, lump-sum payment, flat fee	{取:シュ} appropriation, obtaining<br/>{取材:シュザイ} news coverage, collecting data (e.g. for an article), covering (something for media), interview<br/>{先取:センシュ} earning the first (runs), preoccupation<br/>{聴取:チョウシュ} hearing (of a statement, opinion, explanation, etc.), asking, questioning (e.g. a suspect), enquiry, listening (e.g. to the radio)	{取:と}り<br/>{取:しゅ}<br/>{取:ど}り<br/>{取:と}る<br/>{取:とり}{引:ひき}<br/>{取:と}り{替:か}える<br/>{取:と}れる<br/>{取:と}り{上:あ}げる<br/>{取:と}り{消:け}す<br/>{取:と}り{出:だ}す<br/>{取:と}り{入:い}れる<br/>{取:と}っ{手:て}<br/>{取:と}り{扱:あつか}い<br/>{取:しゅ}{材:ざい}<br/>{取:と}り{締:し}まり<br/>{取:と}り{戻:もど}す<br/>{取:と}り{除:のぞ}く<br/>{取:と}り{分:わ}け<br/>{取:と}り{組:く}む<br/>{取:と}り{扱:あつか}う
都	11	123	N3	grade 3	town (阝 right) 邑 (阝)	邦 老 日	metropolis, capital, all, everything	みやこ	ト, ツ	{都:みやこ} capital, metropolis, seat of government, capital (of music, fashion, etc.), city (e.g. of light), location of the Imperial Palace<br/>{都入り:みやこいり} arriving in the capital<br/>{京の都:きょうのみやこ} Kyōto<br/>{森の都:もりのみやこ} tree-clad town	{都:ト} metropolitan, municipal<br/>{都営:トエイ} (under) metropolitan government management<br/>{遷都:セント} relocation of the capital, transfer of the capital<br/>{東都:トウト} the Eastern Capital (now Tokyo), Yedo, Edo<br/>{都度:ツド} each (every) time, whenever<br/>{都合:ツゴウ} circumstances, condition, convenience, to arrange, to manage, to lend money, to raise money, in all, in total, all told	{都:みやこ}<br/>{都:と}<br/>{都:と}{市:し}<br/>{都:つ}{合:ごう}<br/>{都:と}{会:かい}<br/>{都:と}{心:しん}<br/>{都:と}{市:し}{計:けい}{画:かく}<br/>{都:と}{庁:ちょう}<br/>{都:と}{民:みん}<br/>{都:と}{市:し}{部:ぶ}<br/>{都:と}{市:し}{化:か}<br/>{都:と}{市:し}{再:さい}{開:かい}{発:はつ}<br/>{都:と}{市:し}{伝:でん}{説:せつ}<br/>{都:つ}{合:ごう}の{良:よ}い<br/>{都:つ}{合:ごう}が{悪:わる}い<br/>{都:つ}{合:ごう}がよろしい<br/>{都:と}{会:かい}{人:じん}<br/>{都:つ}{合:ごう}の{悪:わる}い<br/>{都:つ}{合:ごう}のよろしい
